region_code,id,full_name,name1,name2,name3
고대면-2389,2389,충청남도 당진시 고대면,충청남도,당진시,고대면
정미면-2392,2392,충청남도 당진시 정미면,충청남도,당진시,정미면
우강면-2395,2395,충청남도 당진시 우강면,충청남도,당진시,우강면
면천면-2393,2393,충청남도 당진시 면천면,충청남도,당진시,면천면
우두동-7055,7055,충청남도 당진시 우두동,충청남도,당진시,우두동
대호지면-2391,2391,충청남도 당진시 대호지면,충청남도,당진시,대호지면
행정동-7059,7059,충청남도 당진시 행정동,충청남도,당진시,행정동
용연동-7054,7054,충청남도 당진시 용연동,충청남도,당진시,용연동
사기소동-7051,7051,충청남도 당진시 사기소동,충청남도,당진시,사기소동
구룡동-7049,7049,충청남도 당진시 구룡동,충청남도,당진시,구룡동
금산읍-2402,2402,충청남도 금산군 금산읍,충청남도,금산군,금산읍
추부면-2411,2411,충청남도 금산군 추부면,충청남도,금산군,추부면
복수면-2410,2410,충청남도 금산군 복수면,충청남도,금산군,복수면
금성면-2403,2403,충청남도 금산군 금성면,충청남도,금산군,금성면
진산면-2409,2409,충청남도 금산군 진산면,충청남도,금산군,진산면
제원면-2404,2404,충청남도 금산군 제원면,충청남도,금산군,제원면
군북면-2406,2406,충청남도 금산군 군북면,충청남도,금산군,군북면
남일면-2407,2407,충청남도 금산군 남일면,충청남도,금산군,남일면
부리면-2405,2405,충청남도 금산군 부리면,충청남도,금산군,부리면
남이면-2408,2408,충청남도 금산군 남이면,충청남도,금산군,남이면
부여읍-2413,2413,충청남도 부여군 부여읍,충청남도,부여군,부여읍
규암면-2414,2414,충청남도 부여군 규암면,충청남도,부여군,규암면
석성면-2427,2427,충청남도 부여군 석성면,충청남도,부여군,석성면
은산면-2415,2415,충청남도 부여군 은산면,충청남도,부여군,은산면
홍산면-2419,2419,충청남도 부여군 홍산면,충청남도,부여군,홍산면
임천면-2424,2424,충청남도 부여군 임천면,충청남도,부여군,임천면
장암면-2425,2425,충청남도 부여군 장암면,충청남도,부여군,장암면
세도면-2426,2426,충청남도 부여군 세도면,충청남도,부여군,세도면
구룡면-2418,2418,충청남도 부여군 구룡면,충청남도,부여군,구룡면
외산면-2416,2416,충청남도 부여군 외산면,충청남도,부여군,외산면
초촌면-2428,2428,충청남도 부여군 초촌면,충청남도,부여군,초촌면
내산면-2417,2417,충청남도 부여군 내산면,충청남도,부여군,내산면
남면-2421,2421,충청남도 부여군 남면,충청남도,부여군,남면
옥산면-2420,2420,충청남도 부여군 옥산면,충청남도,부여군,옥산면
양화면-2423,2423,충청남도 부여군 양화면,충청남도,부여군,양화면
충화면-2422,2422,충청남도 부여군 충화면,충청남도,부여군,충화면
서천읍-2431,2431,충청남도 서천군 서천읍,충청남도,서천군,서천읍
장항읍-2430,2430,충청남도 서천군 장항읍,충청남도,서천군,장항읍
마서면-2432,2432,충청남도 서천군 마서면,충청남도,서천군,마서면
